test_object,true_type,classified_as,decision_value,material_name,rigidity,glossiness,decision_value_norm,Glossiness,Rigidity,Enviroment_Map,Texture,init_rot,end_rot,Force,disp_scale,disp_depth,glossID,rigidID,type_truncted,type8way,detail
126,0,0,-23.74143063,"shiny_soft_gothicManor_None_[7, 0, 0]_[7, 0, 0]_CHARGE_1.961_1_5",soft,shiny,-1,shiny,soft,gothicManor,None,"[7, 0, 0]","[7, 0, 0]",CHARGE,1.961,1,0,1,1,-1,-1
182,0,0,-20.90701178,"shiny_soft_abandoned_None_[86, 0, 0]_[86, 0, 0]_WIND_1.99_2_7",soft,shiny,-0.895587453,shiny,soft,abandoned,None,"[86, 0, 0]","[86, 0, 0]",WIND,1.99,2,0,1,1,-1,-1
298,0,0,-19.53749142,"shiny_rigid_machineShop_None_[19, 0, 0]_[-46, -50, -54]_None_1.838_2_5",rigid,shiny,-0.845137919,shiny,rigid,machineShop,None,"[19, 0, 0]","[-46, -50, -54]",None,1.838,2,0,0,2,1,1
281,0,0,-18.99610056,"shiny_rigid_machineShop_None_[76, 0, 0]_[-53, 38, 48]_None_1.693_2_0",rigid,shiny,-0.825194501,shiny,rigid,machineShop,None,"[76, 0, 0]","[-53, 38, 48]",None,1.693,2,0,0,2,1,1
282,0,0,-18.18064232,"shiny_rigid_machineShop_None_[68, 0, 0]_[48, 43, -35]_None_1.08_0_14",rigid,shiny,-0.795155161,shiny,rigid,machineShop,None,"[68, 0, 0]","[48, 43, -35]",None,1.08,0,0,0,2,1,1
294,0,0,-18.1286322,"shiny_rigid_machineShop_None_[26, 0, 0]_[48, -42, -46]_None_1.876_2_15",rigid,shiny,-0.793239245,shiny,rigid,machineShop,None,"[26, 0, 0]","[48, -42, -46]",None,1.876,2,0,0,2,1,1
110,0,0,-17.80273237,"shiny_soft_lobby_None_[61, 0, 0]_[61, 0, 0]_FORCE_1.816_1_19",soft,shiny,-0.781233951,shiny,soft,lobby,None,"[61, 0, 0]","[61, 0, 0]",FORCE,1.816,1,0,1,1,-1,-1
151,0,0,-17.78750367,"shiny_soft_galileo_None_[54, 0, 0]_[54, 0, 0]_MAGNET_1.292_0_7",soft,shiny,-0.780672966,shiny,soft,galileo,None,"[54, 0, 0]","[54, 0, 0]",MAGNET,1.292,0,0,1,1,-1,-1
280,0,0,-17.44307924,"shiny_rigid_machineShop_None_[88, 0, 0]_[-54, -35, 29]_None_1.046_0_11",rigid,shiny,-0.767985274,shiny,rigid,machineShop,None,"[88, 0, 0]","[-54, -35, 29]",None,1.046,0,0,0,2,1,1
117,0,0,-17.19589897,"shiny_soft_lobby_None_[12, 0, 0]_[12, 0, 0]_WIND_1.567_1_13",soft,shiny,-0.758879802,shiny,soft,lobby,None,"[12, 0, 0]","[12, 0, 0]",WIND,1.567,1,0,1,1,-1,-1
287,0,0,-16.92528421,"shiny_rigid_machineShop_None_[50, 0, 0]_[-29, -58, 32]_None_1.525_2_8",rigid,shiny,-0.748911065,shiny,rigid,machineShop,None,"[50, 0, 0]","[-29, -58, 32]",None,1.525,2,0,0,2,1,1
19,0,0,-16.87699514,"shiny_soft_uffizi_None_[12, 0, 0]_[12, 0, 0]_TURBULENCE_1.023_0_13",soft,shiny,-0.747132222,shiny,soft,uffizi,None,"[12, 0, 0]","[12, 0, 0]",TURBULENCE,1.023,0,0,1,1,-1,-1
129,0,0,-16.8617476,"shiny_soft_gothicManor_None_[62, 0, 0]_[62, 0, 0]_GUIDE_1.95_2_13",soft,shiny,-0.746570543,shiny,soft,gothicManor,None,"[62, 0, 0]","[62, 0, 0]",GUIDE,1.95,2,0,1,1,-1,-1
137,0,0,-16.74427517,"shiny_soft_gothicManor_None_[29, 0, 0]_[29, 0, 0]_CHARGE_1.422_1_16",soft,shiny,-0.742243167,shiny,soft,gothicManor,None,"[29, 0, 0]","[29, 0, 0]",CHARGE,1.422,1,0,1,1,-1,-1
138,0,0,-16.61074995,"shiny_soft_gothicManor_None_[2, 0, 0]_[2, 0, 0]_DRAG_1.396_0_19",soft,shiny,-0.737324449,shiny,soft,gothicManor,None,"[2, 0, 0]","[2, 0, 0]",DRAG,1.396,0,0,1,1,-1,-1
120,0,0,-16.56748621,"shiny_soft_gothicManor_None_[90, 0, 0]_[90, 0, 0]_WIND_1.067_0_4",soft,shiny,-0.735730726,shiny,soft,gothicManor,None,"[90, 0, 0]","[90, 0, 0]",WIND,1.067,0,0,1,1,-1,-1
28,0,0,-16.55869697,"shiny_soft_uenoShrine_None_[51, 0, 0]_[51, 0, 0]_TURBULENCE_0.941_0_10",soft,shiny,-0.735406954,shiny,soft,uenoShrine,None,"[51, 0, 0]","[51, 0, 0]",TURBULENCE,0.941,0,0,1,1,-1,-1
156,0,0,-16.34628391,"shiny_soft_galileo_None_[11, 0, 0]_[11, 0, 0]_GUIDE_1.815_2_9",soft,shiny,-0.727582214,shiny,soft,galileo,None,"[11, 0, 0]","[11, 0, 0]",GUIDE,1.815,2,0,1,1,-1,-1
297,0,0,-16.13488032,"shiny_rigid_machineShop_None_[20, 0, 0]_[53, 45, 57]_None_1.128_0_2",rigid,shiny,-0.719794661,shiny,rigid,machineShop,None,"[20, 0, 0]","[53, 45, 57]",None,1.128,0,0,0,2,1,1
198,0,0,-15.7202408,"shiny_soft_abandoned_None_[17, 0, 0]_[17, 0, 0]_LENNARDJ_1.017_0_6",soft,shiny,-0.70452043,shiny,soft,abandoned,None,"[17, 0, 0]","[17, 0, 0]",LENNARDJ,1.017,0,0,1,1,-1,-1
85,0,0,-15.71420137,"shiny_soft_machineShop_None_[63, 0, 0]_[63, 0, 0]_DRAG_1.378_1_13",soft,shiny,-0.704297953,shiny,soft,machineShop,None,"[63, 0, 0]","[63, 0, 0]",DRAG,1.378,1,0,1,1,-1,-1
178,0,0,-15.53711197,"shiny_soft_castel_None_[13, 0, 0]_[13, 0, 0]_FLUID_1.982_1_16",soft,shiny,-0.697774445,shiny,soft,castel,None,"[13, 0, 0]","[13, 0, 0]",FLUID,1.982,1,0,1,1,-1,-1
95,0,0,-15.26719597,"shiny_soft_machineShop_None_[16, 0, 0]_[16, 0, 0]_LENNARDJ_1.597_1_10",soft,shiny,-0.687831448,shiny,soft,machineShop,None,"[16, 0, 0]","[16, 0, 0]",LENNARDJ,1.597,1,0,1,1,-1,-1
1,0,0,-15.14654874,"shiny_soft_uffizi_None_[9, 0, 0]_[9, 0, 0]_LENNARDJ_1.258_1_9",soft,shiny,-0.683387121,shiny,soft,uffizi,None,"[9, 0, 0]","[9, 0, 0]",LENNARDJ,1.258,1,0,1,1,-1,-1
25,0,0,-15.10047674,"shiny_soft_uenoShrine_None_[64, 0, 0]_[64, 0, 0]_LENNARDJ_1.652_1_2",soft,shiny,-0.68168995,shiny,soft,uenoShrine,None,"[64, 0, 0]","[64, 0, 0]",LENNARDJ,1.652,1,0,1,1,-1,-1
289,0,0,-14.6254972,"shiny_rigid_machineShop_None_[42, 0, 0]_[49, -49, 39]_None_1.209_0_16",rigid,shiny,-0.664192951,shiny,rigid,machineShop,None,"[42, 0, 0]","[49, -49, 39]",None,1.209,0,0,0,2,1,1
23,0,0,-14.6202875,"shiny_soft_uenoShrine_None_[72, 0, 0]_[72, 0, 0]_VORTEX_1.807_1_19",soft,shiny,-0.664001039,shiny,soft,uenoShrine,None,"[72, 0, 0]","[72, 0, 0]",VORTEX,1.807,1,0,1,1,-1,-1
283,0,0,-14.45109379,"shiny_rigid_machineShop_None_[68, 0, 0]_[-29, 55, 43]_None_0.946_0_10",rigid,shiny,-0.657768387,shiny,rigid,machineShop,None,"[68, 0, 0]","[-29, 55, 43]",None,0.946,0,0,0,2,1,1
148,0,0,-14.3678639,"shiny_soft_galileo_None_[58, 0, 0]_[58, 0, 0]_FLUID_1.438_0_11",soft,shiny,-0.654702416,shiny,soft,galileo,None,"[58, 0, 0]","[58, 0, 0]",FLUID,1.438,0,0,1,1,-1,-1
22,0,0,-14.26839806,"shiny_soft_uenoShrine_None_[77, 0, 0]_[77, 0, 0]_CHARGE_1.355_0_15",soft,shiny,-0.651038356,shiny,soft,uenoShrine,None,"[77, 0, 0]","[77, 0, 0]",CHARGE,1.355,0,0,1,1,-1,-1
