test_object,true_type,classified_as,decision_value,material_name,rigidity,glossiness,decision_value_norm,Glossiness,Rigidity,Enviroment_Map,Texture,init_rot,end_rot,Force,disp_scale,disp_depth,glossID,rigidID,type_truncted,type8way,detail,decisionNormalized,obj_dir
120,0,0,-16.56748621,"shiny_soft_gothicManor_None_[90, 0, 0]_[90, 0, 0]_WIND_1.067_0_4",soft,shiny,-0.735730726,shiny,soft,gothicManor,None,"[90, 0, 0]","[90, 0, 0]",WIND,1.067,0,0,1,1,-1,-1,-0.542284948,validationSet_v7_movies/120.mp4
28,0,0,-16.55869697,"shiny_soft_uenoShrine_None_[51, 0, 0]_[51, 0, 0]_TURBULENCE_0.941_0_10",soft,shiny,-0.735406954,shiny,soft,uenoShrine,None,"[51, 0, 0]","[51, 0, 0]",TURBULENCE,0.941,0,0,1,1,-1,-1,-0.54199726,validationSet_v7_movies/28.mp4
156,0,0,-16.34628391,"shiny_soft_galileo_None_[11, 0, 0]_[11, 0, 0]_GUIDE_1.815_2_9",soft,shiny,-0.727582214,shiny,soft,galileo,None,"[11, 0, 0]","[11, 0, 0]",GUIDE,1.815,2,0,1,1,-1,-1,-0.535044581,validationSet_v7_movies/156.mp4
297,0,0,-16.13488032,"shiny_rigid_machineShop_None_[20, 0, 0]_[53, 45, 57]_None_1.128_0_2",rigid,shiny,-0.719794661,shiny,rigid,machineShop,None,"[20, 0, 0]","[53, 45, 57]",None,1.128,0,0,0,2,1,1,-0.528124945,validationSet_v7_movies/297.mp4
198,0,0,-15.7202408,"shiny_soft_abandoned_None_[17, 0, 0]_[17, 0, 0]_LENNARDJ_1.017_0_6",soft,shiny,-0.70452043,shiny,soft,abandoned,None,"[17, 0, 0]","[17, 0, 0]",LENNARDJ,1.017,0,0,1,1,-1,-1,-0.514553014,validationSet_v7_movies/198.mp4
85,0,0,-15.71420137,"shiny_soft_machineShop_None_[63, 0, 0]_[63, 0, 0]_DRAG_1.378_1_13",soft,shiny,-0.704297953,shiny,soft,machineShop,None,"[63, 0, 0]","[63, 0, 0]",DRAG,1.378,1,0,1,1,-1,-1,-0.514355332,validationSet_v7_movies/85.mp4
178,0,0,-15.53711197,"shiny_soft_castel_None_[13, 0, 0]_[13, 0, 0]_FLUID_1.982_1_16",soft,shiny,-0.697774445,shiny,soft,castel,None,"[13, 0, 0]","[13, 0, 0]",FLUID,1.982,1,0,1,1,-1,-1,-0.508558864,validationSet_v7_movies/178.mp4
95,0,0,-15.26719597,"shiny_soft_machineShop_None_[16, 0, 0]_[16, 0, 0]_LENNARDJ_1.597_1_10",soft,shiny,-0.687831448,shiny,soft,machineShop,None,"[16, 0, 0]","[16, 0, 0]",LENNARDJ,1.597,1,0,1,1,-1,-1,-0.499724006,validationSet_v7_movies/95.mp4
1,0,0,-15.14654874,"shiny_soft_uffizi_None_[9, 0, 0]_[9, 0, 0]_LENNARDJ_1.258_1_9",soft,shiny,-0.683387121,shiny,soft,uffizi,None,"[9, 0, 0]","[9, 0, 0]",LENNARDJ,1.258,1,0,1,1,-1,-1,-0.495774995,validationSet_v7_movies/1.mp4
25,0,0,-15.10047674,"shiny_soft_uenoShrine_None_[64, 0, 0]_[64, 0, 0]_LENNARDJ_1.652_1_2",soft,shiny,-0.68168995,shiny,soft,uenoShrine,None,"[64, 0, 0]","[64, 0, 0]",LENNARDJ,1.652,1,0,1,1,-1,-1,-0.494266972,validationSet_v7_movies/25.mp4
